,名称,歌单id,歌单介绍,创建者id,创建者昵称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1,tag2,tag3
0,“甜味 旋律 Rap情歌”,2356473597,"介绍：
在什么都善变的世间，我想和你看一看永远

歌单支持投稿
",392078662,张以晨_,2018-08-10,2564408,35018,450,125,397,说唱,浪漫,流行
0,甜歌说唱 | 少女心事糖度爆表,3116532356,"介绍：

跟我走吧
不眠的夜给你
四月的清晨和五月的傍晚给你
西瓜中心的第一口甜给你
手给你怀抱给你
车票给你等待给你
钥匙给你家给你
一腔孤勇和余生六十年全都给你
",2065856340,远房小姑,2019-12-13,456064,5466,77,17,129,说唱,华语,浪漫
0,说唱新世代 『更新即存』,5324100915,"介绍：
可以看下我主页其他歌单! ! !

无其他多余歌!!!!!!
有很多还没上线网易云。
关注里是新世代所有人。
基本不是现场版。
",611290574,假Kid,2020-11-07,576620,8267,60,23,65,华语,说唱,nan
0,2020 Billboard 说唱年榜收录,5363801096,"介绍：
2020年 Billboard年榜说唱最热单曲收录，歌单顺序根据排名决定
",3856379473,云音乐说唱专区,2020-12-04,899399,8546,73,52,51,欧美,说唱,nan
0,【私藏说唱歌单】每一首都炸裂好听,2885576850,"介绍：
风格不被定义
喜欢说唱的人都是很酷的！（持续更新）
",489888300,格鲁大叔_,2019-07-16,576671,6759,63,36,185,说唱,榜单,nan
0,“就怕rapper说情话”,5355088033,"介绍：
不要因自己的贪玩和任性 辜负了那些爱你的人.
",321996387,有人弄乱了玫瑰-,2020-11-28,2579823,32092,250,102,87,华语,说唱,流行
0,说唱 ｜ 只要笑一笑 没什么事情过不了,5305929925,"介绍：
天空是绵绵的糖
就算塌下来又怎样
只要笑一笑
没什么事情过不了

原歌单名：
记得把平凡的日子 过得浪漫些
",395063023,煎妮BoBo,2020-10-26,1581929,14551,247,112,46,华语,浪漫,说唱
0,甜度99% | 饶舌歌手藏在星河里的浪漫,2897918638,"介绍：
我理想的爱情：

一屋两人
三餐四季
狗在跑，
我在闹，
他在笑。

最初喜欢于样貌，
然后却沉溺于才情，
最后折服在于三观。

有钱，有爱，有孩子
他不出轨，
我不出轨，
就足够了。
醒同笑睡同床
生同房死...
",44530116,名侦探-柯北,2019-07-25,1853239,20900,271,84,114,华语,说唱,浪漫
0,孤独治愈所 | 难过的事终将过去,6906095673,"介绍：
“你可以爱一个人到尘埃里，但没有人会爱尘埃里的你。”
",5126442932,571号失恋选手,2021-08-07,1037234,7587,481,16,89,华语,流行,说唱
0,中文说唱 | Boombap | Flow,2503568043,"介绍：
【私人歌单，拒绝投稿，拒绝接受任何评论】
",482409813,BonZ_张,2018-11-07,1385050,16275,135,151,94,说唱,nan,nan
0,Trap | 沉迷致幻毒剂,6699225238,"介绍：
深度致幻 听过才知道 根本不想动 
顺序随意 别叫别叫 会更新
",1981735139,3AM-y,2021-04-06,210607,6423,34,17,121,欧美,说唱,流行
0,国产emo说唱 | 没人能感同身受,6950428911,"介绍：
短短一生，爱什么都不为过，放弃什么都没错
只有有事的时候，人才会说自己没事。
",2103569167,十二月的雪_026,2021-09-02,2327564,9981,50,21,93,说唱,流行,华语
0,说唱RAP I 非战斗人员请撤离,5051433464,"介绍：
为什么听HipHop?

可能是因为

他能理直气壮的诉说着爱恨情愁把所有的想法都展现出来

他可以直白的说出这世间最美好与最丑陋的那面

他还有酷酷的表达方式

给人感觉天大的事儿都不是事儿

嗯，就是这样真...
",1782410452,饭饭之交c,2020-06-05,3699566,13703,26,64,80,华语,说唱,翻唱
0,【海外说唱】超级好听英文Rap歌单,2644743965,"介绍：
多以西海岸说唱为主，只是选择性挑自己喜欢的歌进歌单。（随机播放，惊喜不断.）（喜欢就收藏，爱就分享.）不固定更新哈。
",357701301,棉花糖Edm,2019-01-29,717530,10057,86,106,148,欧美,说唱,运动
0,就怕rapper说情话 撒时候有甜甜的恋爱,6631262910,"介绍：
原来rapper的嘴巴不只有diss 还有甜甜的kiss
",1294496571,GRU__iZa,2021-02-23,1315097,12080,126,52,171,说唱,浪漫,放松
0,伤感说唱rap | 忘了是怎么开始,5310111557,"介绍：
你完美地躲过了所有正常操作

所以 该怎么找到你？
",1358261208,见青山t,2020-10-29,1819261,15245,1232,52,73,流行,说唱,夜晚
0,中文旋律说唱TOP30.给你最温柔的力量,3035129054,"介绍：

要列新歌单了，希望各位粉丝歌手多多私信推荐和自荐！

直到2019.10.19为止，中文说唱市场仍然在蓬勃发展着，在歌曲中如果有听众热爱的旋律部分，歌曲会更受大部分人的喜爱。我筛选了30首各有特点，却同样...
",345418659,程禅关,2019-10-19,505481,5690,48,34,30,华语,说唱,浪漫
0,Beattle beat丨上等好货丨freestyle 伴奏,6654071246,"介绍：
Battle beat
都是自选好货
用的时候记得收藏
下次方便找到我这个宝藏歌单
",374150187,一个EDA,2021-03-11,14560,2406,1,0,34,说唱,兴奋,雷鬼
0,伤感情歌 | 上一次放声大哭是为了你,6914226430,"介绍：
突然想找你聊天 打开窗口 突然发现上次结尾是我 你没有回 欲言又止
",5068666252,mcgl41,2021-08-12,706531,10788,254,25,116,华语,流行,说唱
0,你呢 你走出来了吗 愿意接受新的人了吗,6710666656,"介绍：
真正爱过的人，很难轻易忘记吧。

人们总说忘记一个人，要么需要时间，要么需要新欢，却没有人能告诉我，要多少时间才能忘了你，要什么样的人才能将你替代。

以前所有爱过的痕迹，都是真真正正存在，我没...
",389547363,宁遇夏,2021-04-13,983567,6846,118,211,46,华语,说唱,夜晚
0,触动内心共鸣的中文说唱rap,3151648068,"介绍：
总有一句歌词能进入最内心深处让你单曲循环一整天....
",1602910182,埃尔德里克Eldric,2019-12-30,4330510,38803,574,67,210,说唱,华语,放松
0,浪漫基因丨看年轻的诗人们诉说爱情！,7030290441,"介绍：
感受下诗人们眼里天马行空的爱情！
",331324091,欧阳鹏oyp,2021-10-22,593559,8239,12,1,49,华语,流行,说唱
0,Travis Scott !!!,6813607109,"介绍：
钩子一反 听Travis Scott更带感 推歌v：lxwcsjwlkq1220
",1444042361,HC-zagie,2021-06-18,17046,215,分享,0,67,欧美,说唱,nan
0,Rapper的浪漫，没人顶得住！,5305573963,"介绍：
Rapper的浪漫要24小时收藏！
他们用韵脚写的诗，你读了吗？
",39577093,云音乐歌单之友,2020-10-26,3876388,55467,586,294,20,华语,说唱,浪漫
0,适合单曲循环的宝藏说唱,6593961746,"介绍：
那些百听不厌的宝藏说唱

持续更新中
/封面来自网络
",201586,原创君,2021-02-02,4141893,49129,427,216,37,说唱,浪漫,运动
0,《说唱新世代》学员精选作品集,5339779763,"介绍：
《说唱新世代》是哔哩哔哩出品的说唱音乐类节目，节目将汇聚来自全国各地的rapper，齐聚“说唱基地”。他们将通过层层公演考核，以音乐创作和竞演表现，决出代表新世代发声的“世代表达者”。 该节目由黄子...
",1590851653,偷偷的叹了口气,2020-11-18,960828,12034,104,104,100,华语,说唱,另类/独立
0,华语说唱：在歌词里感受苦甜人生,5215461130,"介绍：
超燃的华语说唱，
带你感受生活的甜苦人生。

人生，总有许多沟坎需要跨越；岁月，总有许多遗憾需要弥补。有喜有悲的才是人生，有苦有乐的才是生活，走过才知深浅，品过才知苦甜。

封面：洛杉矶艺术家 An...
",108952364,情思天鹅,2020-09-02,1557851,6859,535,31,85,华语,说唱,nan
0,迷幻Trap|嘻哈毒鸡汤,2523624603,"介绍：
最早的“Trap”在俚语里指的是毒品交易的地方和难以挣脱的生存环境，这个词起源于亚特兰大，Dungeon Family, Outkast, Goodie Mob和Ghetto Mafia等黑人嘻哈歌手是最早在音乐内容加入“Trap”的歌手。歌迷和...
",395293841,SteveRillex,2018-11-21,5810345,82277,1141,343,113,欧美,说唱,电子
0,说唱｜听rapper说情话，甜到你心里,5206470585,"介绍：
宇宙诞生银河流淌着的是星空
爱人的情话微甜星球也初生陨石
正义与雷电碰撞能源流失故土
量子力学的浪漫凝聚态最终融合
所有遇见的事因为有你都变得浪漫起来.
",1426292524,灵魂诗仙,2020-08-28,3761060,17261,866,378,18,流行,说唱,浪漫
